,de,fr,ja,ko,sentiment,hashtags,user_mentions,author_followers_count,author_friends_count,author_statuses_count,retweet_count,favorite_count,ADJ,ADV,CC,CS,ET,I,NC,NP,PREF,PRO,V,PUNC
874048560471224320,0,0,0,1,0.637573,0,0,2624,56,4974,29,51,5,1,0,0,0,1,16,1,0,1,8,9
1111472200119259136,0,0,1,0,-0.70122,1,0,602,547,35245,16,13,4,2,0,0,0,0,13,0,2,0,21,5
1112428839244828677,0,1,0,0,0.882995,0,0,371,112,15388,8801,7061,1,0,0,0,0,0,0,0,0,2,2,0
1112645166635106304,0,1,0,0,0.741606,0,0,4986,369,2257,9,102,4,0,1,0,0,0,6,2,0,0,1,2
1112848387811037184,1,0,0,0,0.331026,1,0,746,362,22239,2,19,1,2,2,0,0,0,6,2,1,7,5,3
1112866640910213120,0,0,1,0,0.908263,5,1,10618,1239,5065,2258,883,4,0,0,0,0,0,34,2,0,0,8,6
1113034277954891776,0,0,1,0,-0.356977,0,0,240,208,1788,22334,30236,4,2,0,0,0,0,14,0,1,1,14,9
1113071079403241473,0,1,0,0,-0.373127,0,0,473,98,6021,1975,2510,1,2,0,1,0,0,9,0,0,3,4,4
1113088785972002818,0,0,0,1,-0.557624,0,0,4099,750,8047,1600,1386,5,2,0,0,1,0,21,0,0,1,10,7
1113241307340783616,0,1,0,0,-0.979918,0,0,460,1305,2676,2,0,5,0,1,0,0,0,8,0,0,0,1,1
1113356792094806016,0,0,1,0,-0.607119,0,0,1561892,18935,127146,1078,1505,3,1,0,0,0,0,16,3,0,0,11,9
1113358092702507008,0,1,0,0,-0.542443,0,0,10224,66,595,5252,12081,2,3,0,0,0,0,3,0,0,4,3,3
1113405974369382401,0,0,1,0,-0.929916,0,0,16572,983,11978,30022,70755,4,1,0,0,0,0,10,2,0,1,5,3
1113416205774151680,0,0,0,1,0.80596,0,0,26903,157,34814,1318,1420,3,1,0,0,1,0,2,1,0,0,1,2
1113442548771688449,1,0,0,0,0.333465,6,1,6057,933,5808,2,10,10,2,0,1,0,0,7,0,3,1,4,4
1113456085942317057,0,1,0,0,0.0,0,0,1561,98,159721,57,38,3,0,0,0,0,0,8,1,0,0,2,4
1113463348929224705,0,1,0,0,0.0,0,0,114317,217,30623,10,31,3,0,0,0,0,0,5,2,0,0,2,2
1113463414448283648,0,0,1,0,-0.532997,0,0,20651,976,68598,14787,29084,7,1,0,0,0,0,22,4,1,1,17,2
1113468313957486594,0,1,0,0,0.816104,0,0,293,225,10655,693,552,5,2,0,0,0,0,6,1,0,0,5,3
1113487568673415168,0,1,0,0,-0.635042,0,0,38124,0,22,5364,7733,4,4,1,0,0,0,4,0,0,0,4,1
1113507126805053440,0,0,0,1,-0.748172,0,0,2286,168,16118,716,264,5,1,0,0,1,1,18,1,1,1,13,0
1113512414241263617,0,1,0,0,-0.96824,0,0,1786,300,7034,4651,7849,2,0,0,1,0,0,2,1,0,0,1,1
1113513135590318081,0,1,0,0,-0.606637,0,0,360,335,4684,1080,2352,0,0,2,2,0,0,2,12,0,0,4,1
1113516323311628289,0,1,0,0,0.0,0,0,3801,2305,28436,8304,11932,1,0,0,0,0,0,0,0,0,0,0,1
1113524297807613954,0,1,0,0,0.0,0,0,2559,863,4696,1462,2271,1,2,1,0,0,0,3,1,0,1,3,12
1113527978133204992,0,1,0,0,-0.563076,0,0,460,431,692,24804,37316,2,0,0,1,0,0,5,3,0,1,5,2
1113534847157460996,0,1,0,0,-0.325973,0,0,1208,215,6709,8758,3430,1,0,1,0,0,0,14,0,0,2,2,3
1113546471985561605,1,0,0,0,0.0,0,0,126,451,294,3,5,4,1,2,0,0,0,8,0,5,1,5,4
1113551977953230850,0,1,0,0,-0.738533,1,0,1600,247,291,63,173,2,0,1,0,0,0,8,2,0,1,3,4
1113558475362140161,0,1,0,0,-0.473189,0,0,348,273,3548,375,483,0,1,0,0,0,0,4,0,0,0,2,0
1113584840610283521,0,1,0,0,-0.961132,0,0,1493,99,99331,13,7,5,2,0,0,0,0,16,2,0,0,4,1
1113610151372574720,0,0,0,1,0.811962,0,1,19,12,18,200,176,7,2,0,0,0,2,18,2,0,0,10,2
1113665980704509952,0,0,0,1,-0.69857,0,0,4996,452,4861,1996,1210,7,6,0,2,0,0,17,0,0,0,9,0
1113680042389848064,0,1,0,0,0.583218,0,0,500,805,7316,145,323,0,1,0,0,0,0,1,0,0,1,2,3
1113681814655098880,0,0,1,0,-0.65517,0,0,24611,37,1750,864,3502,2,0,0,0,0,6,25,0,0,0,18,22
1113686983409377281,1,0,0,0,-0.707151,0,0,1564,1627,7051,52,85,4,2,0,1,0,0,4,1,2,5,5,6
1113704409630900225,0,1,0,0,-0.83275,0,0,15764,959,53441,1427,1223,1,3,2,0,0,0,5,1,0,0,4,1
1113709143343255556,0,0,1,0,-0.594851,0,1,4950,979,137710,12,10,2,0,0,0,0,0,13,0,0,0,14,3
1113710716886773760,0,0,1,0,-0.806872,0,0,26526,461,63536,1127,1553,4,1,0,0,0,0,20,6,0,0,17,4
1113724986475405312,0,1,0,0,-0.976464,0,0,2782,2965,18488,134,242,1,1,0,0,0,0,2,0,0,1,2,3
1113743238194532352,0,0,1,0,0.846149,0,0,6607,31,2925,17,27,5,0,0,0,0,0,28,4,4,1,6,8
1113743270566342656,0,1,0,0,-0.498815,0,0,42572,883,25061,204,669,1,2,1,1,0,0,7,1,0,1,4,3
1113746383750746112,0,1,0,0,0.0,0,0,3140,5001,174284,11,11,2,0,0,0,0,0,6,2,0,0,3,1
1113748507700101120,0,1,0,0,0.598848,0,0,2010,2077,14230,5,5,4,0,0,0,2,0,7,1,0,1,1,4
1113756952884944898,0,0,0,1,-0.550436,0,0,15705,0,290,2489,2453,6,1,0,0,2,0,18,2,0,0,7,6
1113762669142597632,0,0,0,1,0.320035,0,0,71,63,2271,1,9,5,1,1,1,0,0,21,6,0,1,7,4
1113767213087858688,0,0,1,0,-0.888259,0,0,34678,1914,64588,6628,7456,4,1,0,0,0,0,29,0,0,0,28,6
1113767725992763394,0,1,0,0,0.0,0,0,4716,2823,67087,273,375,2,1,3,0,0,0,10,1,0,0,3,1
1113770579390107648,0,0,0,1,-0.420436,0,0,1117,74,12079,144,72,3,1,1,1,2,1,19,1,0,1,12,8
1113773140113367040,0,0,0,1,-0.407452,0,0,2561,51,10825,53,53,7,4,0,0,0,0,9,0,0,1,3,1
1113773182895284225,0,0,1,0,0.714051,0,0,57924,14,13354,104,794,4,0,0,0,0,0,28,0,4,0,20,9
